Index,Highest Charting Position,Streams,Artist Followers,Genre,Tempo,Duration (ms)
1,1,48633449.0,3377762.0,"['indie rock italiano', 'italian pop']",134.002,211560.0
2,2,47248719.0,2230022.0,['australian hip hop'],169.928,141806.0
3,1,40162559.0,6266514.0,['pop'],166.928,178147.0
4,3,37799456.0,83293380.0,"['pop', 'uk pop']",126.02600000000001,231041.0
5,5,33948454.0,5473565.0,"['lgbtq+ hip hop', 'pop rap']",149.995,212000.0
6,1,30071134.0,5473565.0,"['lgbtq+ hip hop', 'pop rap']",178.81799999999998,137876.0
7,3,29356736.0,8640063.0,"['dance pop', 'pop']",110.96799999999999,208867.0
8,2,26951613.0,6080597.0,"['puerto rican pop', 'trap latino']",127.949,199604.0
9,3,25030128.0,36142273.0,"['latin', 'reggaeton', 'trap latino']",179.951,206710.0
10,8,24551591.0,3377762.0,"['indie rock italiano', 'italian pop']",132.507,173347.0
11,4,23518010.0,27142474.0,"['dance pop', 'pop', 'uk pop']",102.977,203064.0
12,9,22405111.0,29051363.0,"['latin', 'reggaeton', 'reggaeton colombiano']",101.96799999999999,217773.0
13,5,22062812.0,37106176.0,"['k-pop', 'k-pop boy group']",124.925,187585.0
14,1,20294457.0,48504126.0,"['canadian pop', 'pop', 'post-teen pop']",90.03,198082.0
15,2,19985713.0,37106176.0,"['k-pop', 'k-pop boy group']",109.99700000000001,164442.0
16,7,19480679.0,6266514.0,['pop'],100.60700000000001,229227.0
17,3,18571755.0,6266514.0,['pop'],180.917,215507.0
18,5,18053141.0,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",118.09100000000001,191014.0
19,14,17617965.0,2123734.0,"['latin', 'reggaeton', 'trap latino']",172.03099999999998,261335.0
20,20,16908917.0,8640063.0,"['dance pop', 'pop']",130.041,210560.0
21,19,16606925.0,151486.0,"['reggaeton', 'trap latino']",153.97899999999998,273474.0
22,22,16126897.0,8640063.0,"['dance pop', 'pop']",124.09700000000001,174253.0
23,1,15684978.0,6266514.0,['pop'],143.875,242013.0
24,24,15089184.0,1890510.0,"['gauze pop', 'indietronica', 'shiver pop']",80.87,238805.0
25,1,15011809.0,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",171.005,200040.0
26,12,14849078.0,6266514.0,['pop'],168.924,175933.0
27,27,14809458.0,10502148.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",130.001,287120.0
28,18,14329162.0,33651775.0,"['dfw rap', 'melodic rap', 'rap']",129.915,184213.0
29,15,14273637.0,83689.0,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",122.98,169153.0
30,3,14174752.0,365975.0,['australian hip hop'],149.996,132780.0
31,5,13963568.0,32574754.0,"['dance pop', 'pop', 'post-teen pop']",148.088,242096.0
32,32,13205250.0,22683756.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",110.10799999999999,164842.0
33,11,12818935.0,6266514.0,['pop'],172.929,152667.0
34,10,12572307.0,16216789.0,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",80.015,195053.0
35,4,11996689.0,16112621.0,"['pop', 'post-teen pop']",95.39,174000.0
36,36,11869336.0,, ,,
37,3,11683383.0,4840346.0,['chicago rap'],81.039,165926.0
38,15,11629418.0,8640063.0,"['dance pop', 'pop']",128.986,186173.0
39,39,11553846.0,8758283.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",93.02,208631.0
40,1,11524288.0,36142273.0,"['latin', 'reggaeton', 'trap latino']",109.928,205090.0
41,41,11477024.0,2936204.0,"['latin pop', 'pop argentino']",92.00299999999999,165275.0
42,17,11287301.0,6266514.0,['pop'],163.929,173160.0
43,33,11283626.0,29051363.0,"['latin', 'reggaeton', 'reggaeton colombiano']",93.005,393280.0
44,2,11196819.0,37106176.0,"['k-pop', 'k-pop boy group']",114.044,199054.0
45,9,10739770.0,5785065.0,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",120.031,164000.0
46,46,10315460.0,3120157.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",124.111,183726.0
47,1,10222056.0,1274433.0,['cali rap'],91.007,140533.0
48,48,10215216.0,375865.0,['trap argentino'],170.06400000000002,192353.0
49,29,10032746.0,6929075.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",97.99,349547.0
50,20,9841998.0,389076.0,[],102.931,122773.0
51,19,9799701.0,3126961.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",89.90700000000001,158087.0
52,52,9781153.0,45362.0,[],110.427,321556.0
53,19,9635619.0,47014200.0,"['electropop', 'pop']",85.016,195777.0
54,40,9600707.0,32178.0,"['house', 'pop dance', 'uk dance']",128.012,345543.0
55,52,9428494.0,31541310.0,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",119.976,154983.0
56,56,9319465.0,495226.0,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",179.62599999999998,147062.0
57,57,9206366.0,409173.0,[],151.92,157176.0
58,31,9086979.0,6080597.0,"['puerto rican pop', 'trap latino']",83.876,212032.0
59,34,9048966.0,32262679.0,"['pop', 'pop rock']",99.04799999999999,227395.0
60,31,9017356.0,12169108.0,"['dance pop', 'piano rock', 'pop', 'pop rock']",117.00299999999999,169011.0
61,46,8977336.0,4787261.0,"['houston rap', 'pop', 'pop rap', 'trap queen']",130.02,184635.0
62,26,8935418.0,291777.0,"['german dance', 'german techno', 'german trance', 'trance']",125.993,150053.0
63,9,8881356.0,6266514.0,['pop'],123.999,143747.0
64,2,8843110.0,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",118.09100000000001,191014.0
65,8,8832945.0,1398563.0,"['pop', 'r&b']",89.087,198371.0
66,2,8821971.0,1250353.0,[],123.95,183290.0
67,33,8564775.0,116817.0,[],119.99700000000001,160880.0
68,35,8564017.0,6662605.0,"['modern alternative rock', 'modern rock', 'pop']",124.053,240400.0
69,69,8514480.0,26769304.0,"['latin', 'reggaeton', 'reggaeton colombiano']",177.998,201181.0
70,12,8490162.0,8384096.0,"['pop', 'uk pop']",109.891,182161.0
71,71,8269753.0,26131.0,"['canadian hip hop', 'toronto rap']",139.928,153406.0
72,72,8133401.0,408696.0,"['brooklyn drill', 'nyc rap']",80.51100000000001,123987.0
73,33,8102107.0,17775316.0,"['latin', 'reggaeton', 'reggaeton colombiano']",88.863,209160.0
74,74,8093413.0,2895789.0,"['latin', 'reggaeton', 'trap latino']",128.05,231604.0
75,75,8006336.0,27116.0,['aussietronica'],123.02799999999999,241970.0
76,12,7975148.0,3377762.0,"['indie rock italiano', 'italian pop']",102.999,194787.0
77,2,7912399.0,1999954.0,"['colombian pop', 'pop']",83.97,160191.0
78,9,7735223.0,2043294.0,"['mexican hip hop', 'rap conciencia']",106.891,197333.0
79,7,7717211.0,31488.0,"['reggaeton', 'trap latino']",98.005,261667.0
80,1,7687058.0,2819593.0,"['australian pop', 'pop']",98.027,209438.0
81,7,7642130.0,2230022.0,['australian hip hop'],93.005,161385.0
82,6,7637626.0,56308172.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",136.006,192956.0
83,83,7516291.0,1042079.0,['comic'],115.044,58149.0
84,76,7465445.0,1250353.0,[],115.98200000000001,258004.0
85,32,7452633.0,17719446.0,"['rap', 'slap house']",124.917,162803.0
86,11,7434252.0,207547.0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",122.95299999999999,166028.0
87,42,7383369.0,207547.0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",123.98899999999999,178088.0
88,78,7381585.0,18228.0,"['melanesian pop', 'pacific islands pop', 'png pop']",105.039,182857.0
89,89,7365053.0,203972.0,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",124.995,206629.0
90,23,7353795.0,287361.0,['dutch pop'],71.884,183624.0
91,55,7336542.0,151486.0,"['reggaeton', 'trap latino']",87.961,193636.0
92,1,7244853.0,67158068.0,"['dance pop', 'pop', 'post-teen pop']",144.015,172325.0
93,6,7156162.0,33651775.0,"['dfw rap', 'melodic rap', 'rap']",120.042,215280.0
94,94,7084292.0,1329531.0,['german hip hop'],144.955,144264.0
95,75,7064003.0,6341942.0,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",97.01799999999999,200785.0
96,96,6984262.0,1250353.0,[],126.986,131067.0
97,97,6858466.0,8640063.0,"['dance pop', 'pop']",107.99799999999999,172627.0
98,60,6853994.0,1521837.0,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",90.021,168030.0
99,99,6825463.0,1427540.0,['uk hip hop'],140.013,251733.0
100,22,6813800.0,8384096.0,"['pop', 'uk pop']",111.881,215107.0
101,52,6799831.0,27142474.0,"['dance pop', 'pop', 'uk pop']",102.977,203064.0
102,85,6711375.0,3363988.0,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",180.104,203385.0
103,103,6709106.0,16074.0,[],180.003,280274.0
104,88,6699895.0,35285425.0,"['modern rock', 'pop', 'rock']",124.949,204347.0
105,2,6697067.0,411579.0,"['pop rap', 'rap', 'trap']",140.04,195429.0
106,45,6660319.0,32574754.0,"['dance pop', 'pop', 'post-teen pop']",145.83700000000002,217867.0
107,3,6653690.0,742692.0,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",121.955,176867.0
108,59,6635076.0,8758283.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",90.025,216510.0
109,109,6614072.0,10356559.0,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",111.898,158532.0
110,110,6584896.0,56699.0,[],167.933,151429.0
111,46,6569547.0,47014200.0,"['electropop', 'pop']",115.28399999999999,200186.0
112,24,6546948.0,1250353.0,[],89.911,158040.0
113,113,6539852.0,73211.0,"['chill r&b', 'nyc pop']",109.075,171743.0
114,9,6502302.0,8640063.0,"['dance pop', 'pop']",90.035,226987.0
115,80,6488622.0,21942793.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",124.01,189672.0
116,116,6469500.0,5420471.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",86.959,193221.0
117,80,6452492.0,83293380.0,"['pop', 'uk pop']",95.977,233713.0
